ref_lab 4 PRIMARY 0 of 18 start  SAME gap 19.913909733960743 seconds 3.27
ref_lab 4 PRIMARY 1 of 18 A 0.025 SAME gap 20.411841083941326 seconds 2.89
ref_lab 4 PRIMARY 2 of 18 A 0.05 SAME gap 21.313181240842685 seconds 2.79
ref_lab 4 PRIMARY 3 of 18 A 0.07500000000000001 SAME gap 22.442453551844217 seconds 2.68
ref_lab 4 PRIMARY 4 of 18 A 0.1 SAME gap 23.61912827930965 seconds 2.5
ref_lab 4 PRIMARY 5 of 18 A 0.125 SAME gap 24.697469210996815 seconds 2.59
ref_lab 4 PRIMARY 6 of 18 A 0.15000000000000002 SAME gap 25.521412652148875 seconds 2.58
ref_lab 4 PRIMARY 7 of 18 A 0.17500000000000002 SAME gap 25.925188999540293 seconds 2.66
ref_lab 4 PRIMARY 8 of 18 A 0.2 SAME gap 26.10004381717367 seconds 2.39
ref_lab 4 PRIMARY 9 of 18 B -0.025 SAME gap 24.473022027951526 seconds 2.62
ref_lab 4 PRIMARY 10 of 18 B -0.05 SAME gap 22.892191093254105 seconds 2.59
ref_lab 4 PRIMARY 11 of 18 B -0.07500000000000001 SAME gap 20.84117399804954 seconds 2.6
ref_lab 4 PRIMARY 12 of 18 B -0.1 SAME gap 18.495790641335166 seconds 2.63
ref_lab 4 PRIMARY 13 of 18 B -0.125 SAME gap 16.029905810395864 seconds 2.71
ref_lab 4 PRIMARY 14 of 18 B -0.15000000000000002 SAME gap 13.529770543328087 seconds 2.61
ref_lab 4 PRIMARY 15 of 18 B -0.17500000000000002 SAME gap 11.03525220857177 seconds 2.6
ref_lab 4 PRIMARY 16 of 18 B -0.2 SAME gap 8.565449437011978 seconds 2.62
ref_lab 4 PRIMARY 17 of 18 B -0.225 SAME gap 6.130778495971757 seconds 2.64
ref_lab 4 PRIMARY 18 of 18 B -0.25 SAME gap 3.738597271311278 seconds 2.92
FINAL ref_lab 4 ACCEPT
